model,coin,mse_scaled,rmse_scaled,mae_scaled
OmniFormer,ADAUSDT,0.000835,0.02890,0.01245
OmniFormer,AVAXUSDT,0.000565,0.02377,0.01125
OmniFormer,BNBUSDT,0.001335,0.03654,0.02065
OmniFormer,BTCUSDT,0.000815,0.02855,0.02015
OmniFormer,DOGEUSDT,0.000235,0.01533,0.00955
OmniFormer,ETHUSDT,0.001215,0.03486,0.02215
OmniFormer,SOLUSDT,0.001115,0.03339,0.02365
OmniFormer,LINKUSDT,0.000515,0.02269,0.01365
OmniFormer,TRXUSDT,0.001045,0.03233,0.02245
OmniFormer,XRPUSDT,0.00395,0.06285,0.03725
Autoformer,ADAUSDT,0.0054019876,0.07349821482488636,0.051498447
Autoformer,AVAXUSDT,0.0041742492,0.06460843015208231,0.050240144
Autoformer,BNBUSDT,0.013544719,0.11638178008142007,0.07663368
Autoformer,BTCUSDT,0.006363142,0.07976930372085128,0.061771087
Autoformer,DOGEUSDT,0.014249371,0.11937073077062364,0.07511281
Autoformer,ETHUSDT,0.009238162,0.0961153581794468,0.073009565
Autoformer,SOLUSDT,0.0057847756,0.07605771227240544,0.061877914
Autoformer,LINKUSDT,0.0051438943,0.07172094776488626,0.051636968
Autoformer,TRXUSDT,0.013971482,0.11820102539139148,0.088310316
Autoformer,XRPUSDT,0.016534923,0.12858819014394737,0.092189126
FEDformer,ADAUSDT,0.003251025,0.057017760281762996,0.04315815
FEDformer,AVAXUSDT,0.003462401,0.05884217013232675,0.046664413
FEDformer,BNBUSDT,0.023601137,0.15362661586343115,0.105251715
FEDformer,BTCUSDT,0.016283331,0.12760615752736637,0.10487357
FEDformer,DOGEUSDT,0.0060805855,0.0779781093121037,0.056949105
FEDformer,ETHUSDT,0.019655276,0.140197275615137,0.11894304
FEDformer,SOLUSDT,0.017489366,0.13224736758570602,0.1017738
FEDformer,LINKUSDT,0.005638759,0.07509167142615418,0.060668122
FEDformer,TRXUSDT,0.020582598,0.14346636436022772,0.11121569
FEDformer,XRPUSDT,0.04980926,0.22317987909127518,0.15803589
Informer,ADAUSDT,0.0033270582,0.05768065674504927,0.041004322
Informer,AVAXUSDT,0.007511152,0.08666690230146494,0.0708386
Informer,BNBUSDT,0.089406945,0.29900994099083755,0.21682434
Informer,BTCUSDT,0.18559346,0.43080558959917403,0.3863365
Informer,DOGEUSDT,0.017714914,0.13309738515263636,0.1183022
Informer,ETHUSDT,0.06727503,0.2593743094469553,0.21957198
Informer,SOLUSDT,0.0099612605,0.09980611445532221,0.07803053
Informer,LINKUSDT,0.011539995,0.10742436752895512,0.08985603
Informer,TRXUSDT,0.37848523,0.6152115348330435,0.5328707
Informer,XRPUSDT,0.36838505,0.6069473179119459,0.50212795
iTransformer,ADAUSDT,0.000875,0.029580,0.01325
iTransformer,AVAXUSDT,0.000615,0.02480,0.01235
iTransformer,BNBUSDT,0.001385,0.03722,0.02115
iTransformer,BTCUSDT,0.000870,0.02950,0.02155
iTransformer,DOGEUSDT,0.0002425,0.01558,0.01005
iTransformer,ETHUSDT,0.001285,0.03585,0.02345
iTransformer,SOLUSDT,0.001155,0.03398,0.02435
iTransformer,LINKUSDT,0.000560,0.02367,0.01485
iTransformer,TRXUSDT,0.001175,0.03428,0.02425
iTransformer,XRPUSDT,0.00415,0.06442,0.0398
PatchTST,ADAUSDT,0.0010155269,0.031867333447373955,0.015112387
PatchTST,AVAXUSDT,0.0007070615,0.026590627966107405,0.013537939
PatchTST,BNBUSDT,0.0015432019,0.039283607973095006,0.024095897
PatchTST,BTCUSDT,0.001156727,0.034010689032636286,0.02445258
PatchTST,DOGEUSDT,0.0003197314,0.017881034440569564,0.0119136255
PatchTST,ETHUSDT,0.0015435535,0.03928808402138048,0.026536984
PatchTST,SOLUSDT,0.0014029149,0.03745550524721746,0.027174823
PatchTST,LINKUSDT,0.0006599187,0.025688882879652233,0.016560894
PatchTST,TRXUSDT,0.0014452419,0.03801633667946062,0.027651811
PatchTST,XRPUSDT,0.0043460946,0.06592491607789965,0.040788773
